"Identity","User","AccessRights"
"Mailbox1","cvoelker@deepthought.life","FullAccess"
"Mailbox1","cjorenby@deepthought.life","FullAccess"
"Mailbox1","awilliams@deepthought.life","FullAccess"
"Mailbox10","cjorenby@deepthought.life","FullAccess"
"Mailbox10","awilliams@deepthought.life","FullAccess"
"Mailbox2","cjorenby@deepthought.life","FullAccess"
"Mailbox3","cvoelker@deepthought.life","FullAccess"
"Mailbox3","cjorenby@deepthought.life","FullAccess"
"Mailbox4","cvoelker@deepthought.life","FullAccess"
"Mailbox4","cjorenby@deepthought.life","FullAccess"
"Mailbox4","awilliams@deepthought.life","FullAccess"
"Mailbox5","cvoelker@deepthought.life","FullAccess"
"Mailbox5","cjorenby@deepthought.life","FullAccess"
"Mailbox5","awilliams@deepthought.life","FullAccess"
"Mailbox6","cvoelker@deepthought.life","FullAccess"
"Mailbox6","cjorenby@deepthought.life","FullAccess"
"Mailbox6","awilliams@deepthought.life","FullAccess"
"Mailbox7","cjorenby@deepthought.life","FullAccess"
"Mailbox7","awilliams@deepthought.life","FullAccess"
"Mailbox8","cjorenby@deepthought.life","FullAccess"
"Mailbox8","awilliams@deepthought.life","FullAccess"
"Mailbox9","cjorenby@deepthought.life","FullAccess"
"Mailbox9","awilliams@deepthought.life","FullAccess"
